exp interface log记录
[2025-05-15 12:20:27] [Info]: [ranyi] Total: 2279, gametime: 1107, rankpoint: 2279, shotgunkills: 105542, smgkills:178281, tankrocks: 1537, versuswin: 516, versustotal：781, gamesplayed: 1189, maxrankpoint: 2296, kill_per_round: 238, rock_per_round: 1, hour_per_round: 0
[2025-05-15 12:20:53] [Info]: [深渊] Total: 258, gametime: 146, rankpoint: 258, shotgunkills: 9534, smgkills:24229, tankrocks: 114, versuswin: 74, versustotal：159, gamesplayed: 249, maxrankpoint: 395, kill_per_round: 135, rock_per_round: 0, hour_per_round: 0
[2025-05-15 17:20:06] [Info]: [ranyi] Total: 2279, gametime: 1107, rankpoint: 2279, shotgunkills: 105542, smgkills:178281, tankrocks: 1537, versuswin: 516, versustotal：781, gamesplayed: 1189, maxrankpoint: 2296, kill_per_round: 238, rock_per_round: 1, hour_per_round: 0
[2025-05-15 17:26:15] [Info]: [ranyi] Total: 2279, gametime: 1107, rankpoint: 2279, shotgunkills: 105542, smgkills:178282, tankrocks: 1537, versuswin: 516, versustotal：781, gamesplayed: 1189, maxrankpoint: 2296, kill_per_round: 238, rock_per_round: 1, hour_per_round: 0
[2025-05-15 17:27:09] [Info]: [ranyi] Total: 2279, gametime: 1107, rankpoint: 2279, shotgunkills: 105542, smgkills:178282, tankrocks: 1537, versuswin: 516, versustotal：781, gamesplayed: 1189, maxrankpoint: 2296, kill_per_round: 238, rock_per_round: 1, hour_per_round: 0
[2025-05-15 17:37:21] [Info]: [ranyi] Total: 2281, gametime: 1108, rankpoint: 2281, shotgunkills: 105542, smgkills:178282, tankrocks: 1539, versuswin: 516, versustotal：781, gamesplayed: 1190, maxrankpoint: 2298, kill_per_round: 238, rock_per_round: 1, hour_per_round: 0
[2025-05-15 17:41:51] [Info]: [ranyi] Total: 2281, gametime: 1108, rankpoint: 2281, shotgunkills: 105542, smgkills:178282, tankrocks: 1539, versuswin: 516, versustotal：781, gamesplayed: 1190, maxrankpoint: 2298, kill_per_round: 238, rock_per_round: 1, hour_per_round: 0
[2025-05-15 17:41:55] [Info]: [286426256156] Total: 227, gametime: 104, rankpoint: 227, shotgunkills: 1603, smgkills:5184, tankrocks: 103, versuswin: 186, versustotal：280, gamesplayed: 314, maxrankpoint: 418, kill_per_round: 21, rock_per_round: 0, hour_per_round: 0
[2025-05-15 17:47:52] [Info]: [cctv0067] Total: 9088, gametime: 3550, rankpoint: 9088, shotgunkills: 459620, smgkills:454946, tankrocks: 6290, versuswin: 1610, versustotal：3195, gamesplayed: 4536, maxrankpoint: 8086, kill_per_round: 201, rock_per_round: 1, hour_per_round: 0
[2025-05-15 17:50:36] [Info]: [cctv0067] Total: 9088, gametime: 3550, rankpoint: 9088, shotgunkills: 459620, smgkills:454946, tankrocks: 6290, versuswin: 1610, versustotal：3195, gamesplayed: 4536, maxrankpoint: 8086, kill_per_round: 201, rock_per_round: 1, hour_per_round: 0
[2025-05-15 17:51:53] [Info]: [286426256156] Total: 227, gametime: 104, rankpoint: 227, shotgunkills: 1603, smgkills:5184, tankrocks: 103, versuswin: 186, versustotal：280, gamesplayed: 314, maxrankpoint: 418, kill_per_round: 21, rock_per_round: 0, hour_per_round: 0
[2025-05-15 17:52:17] [Info]: [艾笠] Total: 1713, gametime: 1007, rankpoint: 1713, shotgunkills: 82300, smgkills:112674, tankrocks: 636, versuswin: 715, versustotal：1264, gamesplayed: 1591, maxrankpoint: 2598, kill_per_round: 122, rock_per_round: 0, hour_per_round: 0
[2025-05-15 17:52:27] [Info]: [头像怎么换] Total: 260, gametime: 178, rankpoint: 260, shotgunkills: 2716, smgkills:5505, tankrocks: 62, versuswin: 123, versustotal：270, gamesplayed: 405, maxrankpoint: 583, kill_per_round: 20, rock_per_round: 0, hour_per_round: 0
[2025-05-15 17:53:02] [Info]: [打死三个小趴菜] Total: 1219, gametime: 1085, rankpoint: 1219, shotgunkills: 42311, smgkills:43994, tankrocks: 271, versuswin: 653, versustotal：1313, gamesplayed: 1401, maxrankpoint: 2486, kill_per_round: 61, rock_per_round: 0, hour_per_round: 0
[2025-05-15 17:53:26] [Info]: [286426256156] Total: 227, gametime: 104, rankpoint: 227, shotgunkills: 1603, smgkills:5184, tankrocks: 103, versuswin: 186, versustotal：280, gamesplayed: 314, maxrankpoint: 418, kill_per_round: 21, rock_per_round: 0, hour_per_round: 0
[2025-05-15 17:54:09] [Info]: [chocolate] Total: 155, gametime: 191, rankpoint: 155, shotgunkills: 10164, smgkills:9661, tankrocks: 12, versuswin: 47, versustotal：109, gamesplayed: 121, maxrankpoint: 312, kill_per_round: 163, rock_per_round: 0, hour_per_round: 1
